text,label
"w suka heran ya sama bapak bapak, abang abang, yg makan siang dirumah makan dikerumunan orang banyak saat bulan puasa. rasa malu nya dimana itu lho",Sad
"Aku gk ngerti lagi kenapa sayang sekali sm mereka. Apalagi daehyun 6thn ngikutin mereka, mau menang atau kalah tetep care ny ke mereka",Love
biyar semangat,Joy
PIDATO RETAK sementara hanya kurang tujuh detik lampu merah sudah tak sabar ingin ku tebas. rejeki baru sepanjang jogja dan jakarta tapi kesalahan selalu relovan jika bunyi tik tok somay berselisiban dengan truk-truk pertamina.,Fear
"Selamat ulang tahun, Bosque! Sepurane telat. Semoga2 sehat selalu, dilancarkan karir & jodohnya, diberi segalanya yang terbaik oleh Allah sebaik-baiknya orang tua memberimu yang terbaik selama ini. Aamiiin",Joy
bener sih waktu itu lagi pengen nonton yg sedih-sedih langsung cus nonton ini dan berakhir mewek nangis,Sad
"Mencuci termos ala orang malas. Isi penuh dgn air mendidih. Tutup rapat 30 menit, buang airnya. Isi termos dgn air es. Termos dapat digunakan lagi seperti biasa",Joy
anjir fitnah tuh !,Anger
"hi guysss jangan lupa cek berita dan ya terus saksikan dengan meriah konsernya hari ini, mangattsss",Joy
Baru sekali2nya komen pendapat di di akun kpop2 gitu yg ada btsnya terus langsung diserang netizen2 yg tiba2 menyeramkan. Wagelaseh wkwkw netizen emang menyeramkan ternyata wkwkw,Fear
mau positip takut cewenya jealous kah?? masalahnya gw bukan jennie,Fear
"Kemaren mampir ngopi dan nyobain custom shop nya , ternyata ensss juga gitar nya . . . . #guitarforlife @ Pondok Labu [URL]",Joy
"Memaknai suatu hubungan, butuh waktu bertahun tahun dan mgkn banyak pelajaran. Don't be needy lah kalo jadi cewe. Pacar lo punya masa depan yang harus dia prioritaskan. Pacar lo juga punya kehidupan selain elo.",Anger
"bangun, ngumpulin nyawa, tiba-tiba ngerasa sedih.. ""anak jepangku kemana ya?!"" inilah gambaran pagiku selama dua minggu gada kabar dr tp harus ttp semangat! pasti bisa!",Sad
"marahku tak ku jual murah. aku marah padamu. lalu ditanyai siapa yang menyakitiku. entah makhluk langka apa yang berhasil menyakitiku, cinta.",Neutral
mjb dipancing pake lagu2 yang sedih ajaa,Neutral
"bertahanku bisa saja pasti, tp kalo d siasiakan mending di evaluasi ayo jalan",Neutral
"masih pagi jangan marah"" bundaa",Anger
iya suka banget,Love
"sungguh memang indahnya ciptaan sang tuhan!, sampai aku begitu sangat terpesona melihat garis senyum manismu sayang",Love
"Aku bingung kok dia tiba tiba diem engga manggil aku dan tanya2 lagi, nah tak dengerin bener2 kok nafasnya anteng banget eh ternyata udah dibuat nyaman sama bantal guling dan kasur",Sad
kadang aku terasa sesuatu. takut. takut akan tidak memperoleh yang aku ingini. takut akan kehilangan yang aku ada. takut akan semuanya berubah sekelip mata.,Fear
otak kaum lo yg tolol. pake sumber yg nasional drun.,Anger
Ada untungnya punya adik tuli. Bisa ngobrol bahasa isyarat sama driver grab yg barusan. Mungkin kalau kadang njenengan order grab di sekitaran GOR UNY mungkin bisa ketemu beliau. Kocak orangnya sih. Kalo kalian ngerti.,Joy
sedih betul jadi penyokong manu pagi ni,Sad
happy weekend all.. semangat bekerja,Joy
:/-1 Dibuat bundling. Dan semuanya ditawarkan saat weekdays. Momentum di mana harga-harga hotel di Singapura bertarif sangat tinggi. #VIWIHotDealsForMiddleEast,Sad
ini sebenarnya pak richi ada rasa sama ibel tapi takut,Fear
"[USERNAME] Dia pun mengendarai mobilnya ke arah lobby dan berhenti tepat di depan kekasihnya yang sedang menantinya. Dia keluar dari mobil, lalu merangkul pundak kekasihnya. ""Ayo masuk, sayang"" ucapnya sambil membuka pintu mobil untuk kekasihnya itu.",Love
"Jangan biarkan seseorang singgah di hatimu,.. Bila tak bermaksud untuk tinggal di dalamnya, kecewa karena cinta itu menyakitkan.",Sad
aku si anak bodoh,Neutral
woohh boleh tuh caakk.. labu siam kan? yg ukuran normal atau yg buat lalapan biasanya lu?,Neutral
enak bgt y pak,Joy
"oke, pertama-tama. ulangi kalimat enih. ""cih, kudaranai watashi bangun di 2022 dan belum menjadi character anime serta belum tinggal di isekai. ck watashi sangat kecewa.""",Neutral
Semangat sayang... aku jg menunggu anak kita yg akan lahir.. ahahahhaha [USERNAME] #EXO_COMINGSOON #exo #EXOPLANET #weareoneEXO,Love
"Kalo pasangan lagi sakit, rewel, atau bad mood...kasi dia perhatian & kasih sayang yang lebih. Meskipun memang kalo di kondisi seperti itu dia cenderung nyebelin & bikin mumet...dimaklumin aja. Karena justru di kondisi kaya gitu dia butuh banget cinta, perhatian & kesabaran lo.",Love
seneng bgt bangun tidur dapet kabar jimin udh sembuh dr covid,Joy
"kaito : sayang, kalau hari minggu suka nonton apa | shin: mm,aku sih sukannya nonton pokemon sama fairy tail, kalau kamu? | kaito: aku sukanya nonton foto kamu karna aku lope you",Love
"Serius, gw bingung sama maksud and tujuan orang2 yg suka ngelempar kereta dengan batu. Nyakitin orang lain kan kalo sampe kena kaca n pecah? Punya penyakit jiwa kali yak?",Anger
"Perasaan bank lain, sblm surat kuasa dicabut oleh pemberi kuasa ,fine2 aja deh... *makanya kesyel saat si user minta kita pake bri..... hhrrgghhhh* [URL]",Anger
sedih aku masih sakit padahal semalem udah minum obat,Sad
